day,configuration,student_id,daily_student_count,arrival_minute_after_9am,counselling_form_wait_minutes,counselling_form_service_minutes,registration_queue_wait_minutes,registration_service_minutes,approval_queue_wait_minutes,approval_service_minutes,total_wait_minutes,whole_process_minutes,completed_by_4_30pm
1,Base system: one officer at registration,1,5,17.35,0.0,0.9,0.0,14.23,0.0,10.88,0.0,26.01,Yes
1,Base system: one officer at registration,2,5,313.3,0.0,0.72,5.27,14.6,0.0,10.48,5.27,31.06,Yes
1,Base system: one officer at registration,3,5,64.77,0.0,0.73,0.0,17.11,0.0,14.25,0.0,32.09,Yes
1,Base system: one officer at registration,4,5,208.14,0.0,0.75,0.0,15.28,0.0,14.1,0.0,30.13,Yes
1,Base system: one officer at registration,5,5,302.24,0.0,0.51,0.0,16.53,0.0,11.88,0.0,28.92,Yes
2,Base system: one officer at registration,1,5,183.84,0.0,0.5,0.0,14.27,0.0,14.21,0.0,28.98,Yes
2,Base system: one officer at registration,2,5,243.89,0.0,0.58,0.0,14.43,0.0,13.09,0.0,28.09,Yes
2,Base system: one officer at registration,3,5,387.92,0.0,0.76,0.0,16.15,0.0,10.56,0.0,27.46,Yes
2,Base system: one officer at registration,4,5,79.5,0.0,0.51,0.0,17.94,0.0,11.63,0.0,30.08,Yes
2,Base system: one officer at registration,5,5,101.32,0.0,0.56,0.0,16.16,0.0,10.37,0.0,27.09,Yes
3,Base system: one officer at registration,1,13,122.34,0.0,0.7,0.0,16.47,0.0,12.5,0.0,29.68,Yes
3,Base system: one officer at registration,2,13,219.61,0.0,0.63,0.0,16.86,0.0,14.18,0.0,31.66,Yes
3,Base system: one officer at registration,3,13,36.85,0.0,0.92,11.89,13.9,0.66,11.76,12.55,39.13,Yes
3,Base system: one officer at registration,4,13,152.43,0.0,0.59,19.68,16.39,0.0,12.07,19.68,48.73,Yes
3,Base system: one officer at registration,5,13,32.55,0.0,0.61,0.0,16.51,0.0,14.56,0.0,31.67,Yes
3,Base system: one officer at registration,6,13,4.97,0.0,0.9,0.0,12.56,0.0,10.3,0.0,23.76,Yes
3,Base system: one officer at registration,7,13,127.73,0.0,0.85,10.94,15.96,0.0,13.12,10.94,40.87,Yes
3,Base system: one officer at registration,8,13,52.97,0.0,0.86,9.74,14.32,0.0,13.13,9.74,38.05,Yes
3,Base system: one officer at registration,9,13,139.97,0.0,0.96,14.56,17.21,0.0,11.47,14.56,44.19,Yes
3,Base system: one officer at registration,10,13,334.56,0.0,0.98,0.0,15.56,0.0,12.28,0.0,28.82,Yes
3,Base system: one officer at registration,11,13,16.09,0.0,0.87,1.47,12.54,0.0,14.55,1.47,29.42,Yes
3,Base system: one officer at registration,12,13,281.22,0.0,0.89,0.0,15.86,0.0,10.72,0.0,27.46,Yes
3,Base system: one officer at registration,13,13,60.76,0.0,0.54,16.59,17.26,0.0,10.08,16.59,44.47,Yes
4,Base system: one officer at registration,1,24,399.72,0.0,0.81,16.59,15.9,0.0,13.62,16.59,46.92,Yes
4,Base system: one officer at registration,2,24,180.0,0.0,0.68,0.0,12.6,0.0,10.74,0.0,24.03,Yes
4,Base system: one officer at registration,3,24,264.88,0.0,0.89,15.9,13.81,0.0,14.88,15.9,45.47,Yes
4,Base system: one officer at registration,4,24,386.9,0.0,0.62,17.45,12.14,0.0,13.28,17.45,43.5,Yes
4,Base system: one officer at registration,5,24,102.84,0.0,0.64,2.95,15.26,0.0,12.35,2.95,31.2,Yes
4,Base system: one officer at registration,6,24,232.07,0.0,0.94,7.24,12.01,0.0,10.66,7.24,30.85,Yes
4,Base system: one officer at registration,7,24,262.68,0.0,0.65,5.22,13.11,0.0,10.26,5.22,29.25,Yes
4,Base system: one officer at registration,8,24,426.24,0.0,0.53,35.1,14.19,0.37,10.29,35.47,60.48,No
4,Base system: one officer at registration,9,24,14.48,0.0,0.87,0.0,15.36,0.0,13.25,0.0,29.49,Yes
4,Base system: one officer at registration,10,24,31.02,0.0,0.77,0.0,14.2,0.0,10.68,0.0,25.65,Yes
4,Base system: one officer at registration,11,24,144.04,0.0,0.55,0.0,12.39,0.0,13.52,0.0,26.47,Yes
4,Base system: one officer at registration,12,24,371.29,0.0,0.6,0.0,15.45,0.0,11.89,0.0,27.94,Yes
4,Base system: one officer at registration,13,24,379.42,0.0,0.56,7.37,17.64,0.0,11.6,7.37,37.16,Yes
4,Base system: one officer at registration,14,24,60.93,0.0,0.75,16.23,15.49,0.0,14.1,16.23,46.58,Yes
4,Base system: one officer at registration,15,24,413.79,0.0,0.86,18.37,12.21,1.41,14.49,19.78,47.34,No
4,Base system: one officer at registration,16,24,237.5,0.0,0.59,14.17,16.3,0.0,10.21,14.17,41.26,Yes
4,Base system: one officer at registration,17,24,435.55,0.0,0.64,39.87,12.51,0.0,11.24,39.87,64.27,No
4,Base system: one officer at registration,18,24,420.53,0.0,0.84,23.85,16.65,0.0,14.56,23.85,55.9,No
4,Base system: one officer at registration,19,24,41.81,0.0,0.61,20.07,15.41,0.0,13.9,20.07,50.0,Yes
4,Base system: one officer at registration,20,24,438.46,0.0,0.56,49.56,14.35,0.0,11.95,49.56,76.42,No
4,Base system: one officer at registration,21,24,215.43,0.0,0.67,11.11,13.05,0.0,11.56,11.11,36.38,Yes
4,Base system: one officer at registration,22,24,70.25,0.0,0.89,22.27,13.03,1.07,13.64,23.34,50.89,Yes
4,Base system: one officer at registration,23,24,209.52,0.0,0.53,0.0,17.15,0.0,11.92,0.0,29.6,Yes
4,Base system: one officer at registration,24,24,33.44,0.0,0.55,11.99,16.51,0.0,11.91,11.99,40.96,Yes
5,Base system: one officer at registration,1,20,158.33,0.0,0.88,9.85,16.64,0.0,12.73,9.85,40.1,Yes
5,Base system: one officer at registration,2,20,193.58,0.0,0.52,33.93,15.2,0.0,14.06,33.93,63.71,Yes
5,Base system: one officer at registration,3,20,204.15,0.0,0.67,38.41,12.24,1.82,12.73,40.23,65.87,Yes
5,Base system: one officer at registration,4,20,154.56,0.0,0.78,0.0,13.72,0.0,14.91,0.0,29.4,Yes
5,Base system: one officer at registration,5,20,230.6,0.0,0.69,38.05,16.68,0.0,12.18,38.05,67.6,Yes
5,Base system: one officer at registration,6,20,176.59,0.0,0.92,21.62,15.33,0.0,10.41,21.62,48.29,Yes
5,Base system: one officer at registration,7,20,18.41,0.0,0.52,6.01,16.47,0.0,14.81,6.01,37.81,Yes
5,Base system: one officer at registration,8,20,188.34,0.0,0.96,25.16,13.57,0.0,11.33,25.16,51.02,Yes
5,Base system: one officer at registration,9,20,10.65,0.0,0.98,0.0,13.31,0.0,12.43,0.0,26.72,Yes
5,Base system: one officer at registration,10,20,46.11,0.0,0.69,0.0,16.64,0.0,14.93,0.0,32.25,Yes
5,Base system: one officer at registration,11,20,118.71,0.0,0.8,0.48,16.05,0.0,12.22,0.48,29.55,Yes
